Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Jump	Van Halen	Alex Van Halen, David Lee Roth, Eddie Van Halen & Michael Anthony	1984						Rock	9401843	241	1	1	2	9	1983	3/1/2019 3:04 AM	3/24/2018 9:22 AM	256	44100		Apple Music AAC audio file			21	3/9/2019 11:09 AM	11	3/13/2019 4:00 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Van Halen\1984\02 Jump.m4p
Rosanna	Toto	David Paich	Toto IV						Rock	12334282	331	1	1	1	10	1982	2/28/2019 9:02 PM	3/23/2018 9:02 PM	256	44100		Apple Music AAC audio file			13	3/9/2019 8:13 AM	5	3/13/2019 4:01 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Toto\Toto IV\01 Rosanna.m4p
Blister In the Sun	Violent Femmes	G. Gano & Gordon Gano	Permanent Record: The Very Best of Violent Femmes						Alternative	5538649	145	1	1	2	17	1983	3/1/2019 8:55 AM	3/10/2019 7:19 PM	256	44100		Apple Music AAC audio file			4	3/9/2019 3:34 AM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Permanent Record_ The Very Best of Viole\02 Blister In the Sun.m4p
We're Not Gonna Take It	Twisted Sister	Dee Snider & Snider	Stay Hungry						Metal	8259795	219	1	1	2	9	1984	2/28/2019 9:02 PM	3/10/2019 7:19 PM	256	44100		Apple Music AAC audio file			4	3/13/2019 4:10 PM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Twisted Sister\Stay Hungry\02 We're Not Gonna Take It.m4p
Fire Woman	The Cult	Billy Duffy & Ian Astbury	Sonic Temple						Alternative	10804723	311	1	1	2	11	1989	2/28/2019 9:03 PM	4/4/2018 9:21 AM	256	44100		Apple Music AAC audio file			9	3/9/2019 1:27 AM	4	3/1/2019 11:41 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\The Cult\Sonic Temple\02 Fire Woman.m4p
Bizarre Love Triangle	New Order	New Order	Brotherhood						Rock	9156914	261	1	1	6	9	2000	3/1/2019 3:04 AM	3/24/2018 8:22 AM	256	44100		Apple Music AAC audio file			7	3/9/2019 5:02 AM	7	3/1/2019 11:41 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\New Order\Brotherhood\06 Bizarre Love Triangle.m4p
Holding out for a Hero	Bonnie Tyler	Jim Steinman & D. Pitchford	Footloose (Original Motion Picture Soundtrack)						Soundtrack	12537686	350	1	1	4	9	1984	2/28/2019 9:03 PM	3/28/2018 7:54 AM	256	44100		Apple Music AAC audio file			15	3/9/2019 11:19 AM	6	3/1/2019 12:41 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Footloose (Original Motion Picture Sound\04 Holding out for a Hero.m4p
Synchronicity I	The Police	Sting	Synchronicity (Remastered)						Rock	7246698	202	1	1	1	11	1983	2/28/2019 9:03 PM	3/10/2018 5:48 PM	256	44100		Apple Music AAC audio file			17	3/8/2019 7:44 PM	7	2/28/2019 4:07 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\The Police\Synchronicity (Remastered)\01 Synchronicity I.m4p
A View To a Kill	Duran Duran	John Barry, Andy Taylor, John Taylor, Nick Rhodes, Roger Taylor & Simon Le Bon	Decade						Rock	8300321	217	1	1	10	14	1985	3/1/2019 3:04 AM	2/8/2018 2:55 PM	256	44100		Apple Music AAC audio file			22	3/9/2019 5:56 AM	8	3/8/2019 7:41 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Duran Duran\Decade\10 A View To a Kill.m4p
Walk This Way	Run-DMC	Steven Tyler & Joe Perry	Raising Hell						Hip-Hop/Rap	10805657	309	1	1	4	12	1986	2/28/2019 9:03 PM	3/13/2018 8:45 AM	256	44100		Apple Music AAC audio file			17	3/9/2019 12:04 PM	13	3/1/2019 12:47 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Run-DMC\Raising Hell\04 Walk This Way.m4p
